config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
6a61e8c7060c,Qwen/Qwen3.5-4B,none,32,2048,,,,,,,,,,,,,,,,failed,2026-03-28T23:02:53.713496+00:00
4e3e74104e96,Qwen/Qwen3.5-9B,none,16,1024,,,,,,,,,,,,,,,,failed,2026-03-28T23:05:49.413394+00:00
c814b8c9e6c4,Qwen/Qwen3.5-0.8B,none,16,1024,4.799442714376327e-05,4.065588352168114,0.1619498442938694,159.7500479102153,27.004565217391306,78.58695652173913,2408.478260869565,36.87,30.8,2.353910936520131,1.799442714376327e-05,3e-05,53.85,11.63,4,completed,2026-03-28T23:06:41.561656+00:00
a492faec60ae,Qwen/Qwen3.5-0.8B,none,16,128,5.93168661174261e-05,4.065588352168114,0.2638517950568348,78.84482109594205,21.48705882352941,60.794117647058826,2400.294117647059,36.63,30.6,7.3248367669898515,2.9316866117426093e-05,3e-05,53.85,9.42,6,completed,2026-03-28T23:07:17.291687+00:00
279345e0b023,Qwen/Qwen3.5-0.8B,none,16,128,4.527994575138667e-05,4.065588352168114,0.13751951176248003,162.73444441749342,23.16029411764706,67.26470588235294,2401.823529411765,35.6,29.8,2.389101069336874,1.527994575138667e-05,3e-05,53.85,8.42,3,completed,2026-03-28T23:07:53.489988+00:00
9082d3022883,Qwen/Qwen3.5-0.8B,none,1,2048,0.00037430763418032115,4.065588352168114,3.0987687076228903,6.719574097824171,21.906363636363636,83.36363636363636,2401.5454545454545,48.06,40.2,127.29941369474737,0.0003443076341803211,3e-05,53.85,7.17,9,completed,2026-03-28T23:08:16.311093+00:00
2e53ed091f37,Qwen/Qwen3.5-0.8B,none,2,2048,0.00017038993807760798,4.065588352168114,1.2635094426984719,15.159293067579453,19.78,61.8235294117647,2398.0,42.08,35.2,36.653796648437265,0.00014038993807760798,3e-05,51.85,6.39,8,completed,2026-03-28T23:08:52.145557+00:00
542f0dd570f7,Qwen/Qwen3.5-4B,none,16,2048,,,,,,,,,,,,,,,,failed,2026-03-28T23:10:06.557509+00:00
b10d77f2394d,Qwen/Qwen3.5-0.8B,none,8,256,9.25623577112466e-05,4.065588352168114,0.5630612194012193,38.82066930488943,22.72939393939394,50.78787878787879,2398.0,53.35,44.6,15.212484254998344,6.25623577112466e-05,3e-05,49.85,6.17,7,completed,2026-03-28T23:10:41.670640+00:00
db53f97bd22d,Qwen/Qwen3.5-9B,none,32,1024,,,,,,,,,,,,,,,,failed,2026-03-28T23:12:51.544547+00:00
567a85f68f53,Qwen/Qwen3.5-0.8B,none,16,512,3.6824354350569326e-05,4.065588352168114,0.06141918915512394,340.8906598951888,21.682666666666666,54.833333333333336,2400.5666666666666,8.53,7.1,1.908433944336707,6.8243543505693265e-06,3e-05,47.85,2.92,2,completed,2026-03-28T23:13:23.168131+00:00
a5e4072fe071,Qwen/Qwen3.5-4B,none,16,2048,,1.5656525444110059,,0.0,12.87701754385965,5.421052631578948,2404.6315789473683,15.82,13.2,,,,46.85,1.88,,completed,2026-03-28T23:14:22.432686+00:00
278d570e4610,Qwen/Qwen3.5-0.8B,none,32,512,3.648217898583109e-05,4.065588352168114,0.05833961087247978,352.5312127520646,21.293870967741935,54.67741935483871,2400.483870967742,9.07,7.6,1.7364497053220518,6.482178985831087e-06,3e-05,45.85,2.13,1,completed,2026-03-28T23:14:55.167390+00:00
696379db7478,Qwen/Qwen3.5-0.8B,none,2,1024,5.360470498427248e-05,4.065588352168114,0.21244234485845237,83.25621347984631,18.27774193548387,53.064516129032256,2400.483870967742,8.13,6.8,8.063736308592695,2.3604704984272484e-05,3e-05,45.85,1.89,5,completed,2026-03-28T23:15:27.379597+00:00
e197d9c5533a,Qwen/Qwen3.5-0.8B,none,16,128,3.559379667913765e-05,4.065588352168114,0.05034417011223885,502.0483304342605,26.335714285714282,86.47619047619048,2398.0,8.38,7.0,1.8596060893560917,5.59379667913765e-06,3e-05,46.85,1.86,0,completed,2026-03-28T23:15:49.332505+00:00
7e89583463f9,Qwen/Qwen3.5-4B,none,16,512,0.0001264463244372757,1.5656525444110059,0.8680169199354814,16.271782879346308,14.505185185185185,13.12962962962963,2403.8333333333335,15.92,13.3,6.136957532896958,9.644632443727571e-05,3e-05,46.85,1.7,0,completed,2026-03-28T23:16:45.428360+00:00
